2026-04-27 16:27:39 | INFO | main | [LEV] Скип установки (Leverage & Margin), так как set_previous == false
2026-04-27 16:27:39 | ERROR | main | Telegram включен, но token/chat_id не заданы.
2026-04-27 16:27:39 | INFO | main | [CLEAN] Остановка бота и очистка ресурсов...
2026-04-27 16:27:40 | INFO | main | [EXIT] Программа безопасно завершена.
2026-04-27 16:29:15 | INFO | main | [LEV] Скип установки (Leverage & Margin), так как set_previous == false
2026-04-27 16:29:16 | INFO | main | [TG] Запуск супервизора Telegram...
2026-04-27 16:30:45 | WARNING | main | 
[STOP] Ctrl+C / SIGINT. Graceful shutdown...
2026-04-27 16:30:45 | INFO | main | [CLEAN] Остановка бота и очистка ресурсов...
2026-04-27 16:30:45 | INFO | main | Stopping TG supervisor...
