2026-05-06 17:37:03.963 | DEBUG | lever | [GMXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:04.668 | DEBUG | lever | [C98USDT] Setup OK: 10x (Cross)
2026-05-06 17:37:05.415 | DEBUG | lever | [CHRUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:06.158 | DEBUG | lever | [BCHUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:06.883 | DEBUG | lever | [KAVAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:07.767 | DEBUG | lever | [FLUXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:08.716 | DEBUG | lever | [SNXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:09.417 | DEBUG | lever | [BATUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:10.162 | DEBUG | lever | [NEARUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:10.904 | DEBUG | lever | [YFIUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:11.794 | DEBUG | lever | [ROSEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:12.528 | DEBUG | lever | [ENSUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:13.238 | DEBUG | lever | [SANDUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:13.935 | DEBUG | lever | [PAXGUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:14.644 | DEBUG | lever | [XLMUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:15.369 | DEBUG | lever | [SKLUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:16.077 | DEBUG | lever | [DYDXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:16.784 | DEBUG | lever | [INJUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:17.498 | DEBUG | lever | [ARPAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:18.230 | DEBUG | lever | [AAVEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:19.172 | DEBUG | lever | [AGLDUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:19.941 | DEBUG | lever | [DASHUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:20.644 | DEBUG | lever | [ONTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:21.360 | DEBUG | lever | [OPUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:22.058 | DEBUG | lever | [1INCHUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:22.849 | DEBUG | lever | [STGUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:23.559 | DEBUG | lever | [ICPUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:24.258 | DEBUG | lever | [COTIUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:24.959 | DEBUG | lever | [LPTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:25.661 | DEBUG | lever | [KNCUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:26.371 | DEBUG | lever | [HFTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:27.074 | DEBUG | lever | [KSMUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:27.772 | DEBUG | lever | [IOTXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:28.472 | DEBUG | lever | [COMPUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:29.175 | DEBUG | lever | [MINAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:29.899 | DEBUG | lever | [ANKRUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:30.603 | DEBUG | lever | [ZENUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:31.295 | DEBUG | lever | [WOOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:31.991 | DEBUG | lever | [YGGUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:32.701 | DEBUG | lever | [PEOPLEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:33.488 | DEBUG | lever | [IOSTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:34.184 | DEBUG | lever | [TUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:34.878 | DEBUG | lever | [FETUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:35.597 | DEBUG | lever | [HIGHUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:36.297 | DEBUG | lever | [BLURUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:36.998 | DEBUG | lever | [ASTRUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:37.870 | DEBUG | lever | [CFXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:38.571 | DEBUG | lever | [STXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:39.293 | DEBUG | lever | [SSVUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:39.994 | DEBUG | lever | [HBARUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:40.686 | DEBUG | lever | [CKBUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:41.392 | DEBUG | lever | [RLCUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:42.096 | DEBUG | lever | [LQTYUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:42.816 | DEBUG | lever | [ARBUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:43.516 | DEBUG | lever | [IDUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:44.214 | DEBUG | lever | [TLMUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:44.908 | DEBUG | lever | [ICXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:46.046 | DEBUG | lever | [BELUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:46.868 | DEBUG | lever | [RPLUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:47.567 | DEBUG | lever | [SUIUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:48.079 | DEBUG | lever | [U1000PEPEUSDT] Skip: Symbol not found or not supported
2026-05-06 17:37:48.959 | DEBUG | lever | [EDUUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:49.463 | DEBUG | lever | [U1000FLOKIUSDT] Skip: Symbol not found or not supported
2026-05-06 17:37:50.176 | DEBUG | lever | [ORDIUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:50.682 | DEBUG | lever | [U1000XECUSDT] Skip: Symbol not found or not supported
2026-05-06 17:37:51.415 | DEBUG | lever | [MAVUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:52.117 | DEBUG | lever | [XVGUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:52.815 | DEBUG | lever | [WLDUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:53.523 | DEBUG | lever | [PENDLEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:54.266 | DEBUG | lever | [AUCTIONUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:54.970 | DEBUG | lever | [ARKMUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:55.678 | DEBUG | lever | [SEIUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:56.516 | DEBUG | lever | [CYBERUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:57.412 | DEBUG | lever | [TRBUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:58.161 | DEBUG | lever | [XVSUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:58.855 | DEBUG | lever | [DUSKUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:59.555 | DEBUG | lever | [NMRUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:00.281 | DEBUG | lever | [ARKUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:01.001 | DEBUG | lever | [BIGTIMEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:02.111 | DEBUG | lever | [BNTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:02.870 | DEBUG | lever | [WAXPUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:03.601 | DEBUG | lever | [POLYXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:04.362 | DEBUG | lever | [GASUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:05.093 | DEBUG | lever | [TIAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:05.797 | DEBUG | lever | [MEMEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:06.540 | DEBUG | lever | [CAKEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:07.241 | DEBUG | lever | [STEEMUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:07.948 | DEBUG | lever | [ILVUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:08.670 | DEBUG | lever | [KASUSDT] Setup OK: 10x (Cross)
